iter	RMSE
0	203867.2304
1	200908.18
2	198137.2236
3	195225.7562
4	192413.3713
5	189719.7924
6	187193.9812
7	184636.1648
8	182139.1243
9	179874.134
10	177642.1523
11	175562.7423
12	173144.7407
13	170578.3203
14	168584.7295
15	166433.3776
16	164447.167
17	162833.6894
18	160900.8695
19	159379.3131
20	157729.5598
21	156062.0249
22	154347.9033
23	152781.9604
24	151045.1435
25	149753.2509
26	148234.4293
27	146974.7783
28	145623.2634
29	144261.9708
30	143078.21
31	141855.4746
32	140630.9918
33	139404.7345
34	138355.5814
35	137321.2355
36	136375.9508
37	135523.5237
38	134675.7635
39	133774.8591
40	132646.2174
41	131793.7219
42	130820.4903
43	129781.0775
44	128623.2854
45	127732.6415
46	127067.4994
47	126239.0773
48	125251.9617
49	124454.8629
50	123591.7705
51	123008.9492
52	122210.48
53	121429.1527
54	120775.5648
55	120314.2179
56	119606.8551
57	118985.2145
58	118485.7325
59	117836.402
60	117145.4576
61	116310.4577
62	115668.9268
63	114942.4002
64	114399.3144
65	113729.7114
66	113114.3181
67	112636.2076
68	111933.616
69	111254.5053
70	110777.6962
71	110074.1733
72	109611.2306
73	108887.4466
74	108513.4382
75	107986.0513
76	107491.1745
77	107038.3958
78	106748.066
79	106079.123
80	105584.9414
81	105267.5682
82	104732.1015
83	104346.7413
84	103944.84
85	103497.4457
86	102894.5867
87	102487.8726
88	101963.5302
89	101597.1861
90	101170.1972
91	100695.8266
92	100356.7807
93	100066.587
94	99708.14519
95	99192.2544
96	98906.99236
97	98642.43148
98	98439.18204
99	98139.70028
100	97848.29707
101	97438.91197
102	97114.14611
103	96629.13454
104	96383.72137
105	96019.59649
106	95674.77872
107	95271.04596
108	95003.49295
109	94853.87484
110	94554.86215
111	94134.86593
112	93867.2777
113	93567.91055
114	93413.91866
115	93192.96605
116	92772.99434
117	92537.63448
118	92326.25145
119	92142.14515
120	91864.03611
121	91535.96501
122	91393.10807
123	91230.98259
124	91049.26916
125	90873.25176
126	90502.85746
127	90285.27534
128	89952.96972
129	89661.50318
130	89430.53086
131	89141.66683
132	88813.40564
133	88512.49243
134	88174.5829
135	88072.10385
136	87789.19804
137	87402.86515
138	87291.08798
139	87160.15141
140	86935.58524
141	86748.88705
142	86649.89296
143	86255.96071
144	85981.61725
145	85725.49925
146	85512.21405
147	85207.14296
148	85056.28084
149	84968.97818
150	84778.92999
151	84695.52389
152	84487.73388
153	84155.41921
154	83974.0068
155	83717.61509
156	83497.41702
157	83219.98754
158	83070.03288
159	82992.16108
160	82908.90441
161	82746.28531
162	82538.06297
163	82451.99071
164	82266.6715
165	82169.27817
166	82088.05494
167	81865.68788
168	81791.38576
169	81678.57486
170	81510.93117
171	81283.28374
172	81169.46961
173	81083.46711
174	80924.02191
175	80769.45803
176	80589.56962
177	80275.62259
178	79997.3945
179	79801.21564
180	79695.18898
181	79606.36026
182	79382.33192
183	79153.94481
184	79077.66365
185	78898.38799
186	78725.6371
187	78584.05334
188	78495.35123
189	78315.76911
190	78143.03601
191	77993.8479
192	77933.05251
193	77775.24995
194	77685.92643
195	77606.13289
196	77433.66277
197	77372.70943
198	77146.31236
199	76937.11962
200	76715.19362
201	76518.66861
202	76375.95051
203	76310.10187
204	76229.38536
205	76065.67686
206	75932.36533
207	75784.60928
208	75645.87872
209	75170.02876
210	75030.99154
